page,car_brand,car_name,car_price,car_km,car_year,car_desc,car_store,car_engine,car_gearbox,car_fuel,car_color
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=7,Chevrolet,Trailblazer,249990.0,26970.0,2022,2.8 PREMIER 4X4 16V TURBO DIESEL 4P AUTOMÁTICO,,2.8 Turbo,Automatico,Diesel,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=7,Chevrolet,Onix,68800.0,101856.0,2020,1.0 TURBO FLEX PLUS PREMIER AUTOMÁTICO,,1.0 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=7,Chevrolet,Onix,82990.0,28315.0,2022,1.0 TURBO FLEX PLUS AUTOMÁTICO,,1.0 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=7,Chevrolet,Onix,67990.0,37613.0,2022,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=7,Chevrolet,Onix,83990.0,20994.0,2022,1.0 TURBO FLEX PLUS LT AUTOMÁTICO,,1.0 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=7,Volkswagen,T-Cross,105990.0,68000.0,2020,1.4 250 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,,1.4,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=4,Chevrolet,Onix,68990.0,55499.0,2022,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=4,Chevrolet,Onix,69990.0,53123.0,2023,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=4,Chevrolet,Tracker,112990.0,10950.0,2023,1.0 TURBO FLEX LT AUTOMÁTICO,,1.0 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=4,Chevrolet,Onix,65990.0,84202.0,2022,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=4,Chevrolet,Onix,79990.0,38335.0,2020,1.0 TURBO FLEX PLUS PREMIER AUTOMÁTICO,,1.0 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=4,Chevrolet,Onix,72990.0,23164.0,2023,1.0 FLEX MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=4,Citroën,C4 Cactus,74490.0,45221.0,2022,1.6 VTI 120 FLEX C-SERIES EAT6,,1.6,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=4,Chevrolet,Onix,69990.0,30652.0,2022,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=4,Chevrolet,Onix,68990.0,46617.0,2022,1.0 FLEX MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=6,Fiat,Strada,70990.0,62167.0,2021,1.4 FIRE FLEX ENDURANCE CS MANUAL,,1.4,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=6,Chevrolet,Onix,79990.0,62774.0,2021,1.0 TURBO FLEX PLUS PREMIER AUTOMÁTICO,,1.0 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=6,Chevrolet,Onix,68990.0,49355.0,2022,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=6,Chevrolet,Montana,143980.0,8048.0,2024,1.2 TURBO FLEX PREMIER AUTOMÁTICO,,1.2 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=6,Chevrolet,Trailblazer,242990.0,41501.0,2022,2.8 PREMIER 4X4 16V TURBO DIESEL 4P AUTOMÁTICO,,2.8 Turbo,Automatico,Diesel,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=6,Nissan,Versa,81990.0,49091.0,2022,1.6 16V FLEX SENSE XTRONIC,,1.6,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=6,Chevrolet,Onix,69990.0,51243.0,2022,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=6,Chevrolet,Onix,69990.0,38556.0,2023,1.0 FLEX MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=6,Chevrolet,Onix,70990.0,53537.0,2023,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=9,Chevrolet,Spin,99990.0,6890.0,2023,1.8 LT 8V FLEX 4P MANUAL,,1.8,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=9,Chevrolet,Onix,80990.0,14503.0,2022,1.0 TURBO FLEX LTZ MANUAL,,1.0 Turbo,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=9,Chevrolet,Montana,136990.0,1554.0,2024,1.2 TURBO FLEX PREMIER AUTOMÁTICO,,1.2 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=9,Chevrolet,Onix,74990.0,35468.0,2023,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=9,Chevrolet,Onix,81990.0,45428.0,2020,1.0 TURBO FLEX PLUS PREMIER AUTOMÁTICO,,1.0 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=9,Chevrolet,Tracker,106990.0,24711.0,2021,1.0 TURBO FLEX LTZ AUTOMÁTICO,,1.0 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=9,Peugeot,2008,73990.0,49348.0,2022,1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO,,1.6,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=9,Chevrolet,Onix,73990.0,44667.0,2023,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=9,Chevrolet,Onix,73990.0,34478.0,2023,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=10,Chevrolet,Onix,73990.0,30386.0,2023,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=10,Peugeot,208,65990.0,49424.0,2023,1.0 FIREFLY FLEX LIKE MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=10,Chevrolet,Tracker,116990.0,41079.0,2021,1.0 TURBO FLEX PREMIER AUTOMÁTICO,,1.0 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=10,Chevrolet,Onix,72990.0,25396.0,2023,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=10,Chevrolet,Onix,71990.0,34879.0,2023,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=10,Chevrolet,Cruze,100990.0,55223.0,2022,1.4 TURBO LT 16V FLEX 4P AUTOMÁTICO,,1.4 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=10,Chevrolet,Onix,71990.0,39062.0,2022,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=10,Chevrolet,Onix,69990.0,62425.0,2022,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=10,Chevrolet,Onix,73990.0,26792.0,2023,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=12,Hyundai,Hb20X,75990.0,36703.0,2021,1.6 16V PREMIUM FLEX 4P MANUAL,,1.6,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=12,Chevrolet,Onix,70990.0,46972.0,2022,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=12,Chevrolet,Onix,81990.0,50936.0,2021,1.0 TURBO FLEX PLUS PREMIER AUTOMÁTICO,,1.0 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=12,Nissan,Kicks,92990.0,68697.0,2021,1.6 16V FLEXSTART SV 4P XTRONIC,,1.6,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=12,Chevrolet,Tracker,106990.0,60355.0,2022,1.0 TURBO FLEX AUTOMÁTICO,,1.0 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=12,Ford,Ka,49990.0,58076.0,2020,1.0 TI-VCT FLEX SE MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=12,Jeep,Compass,93990.0,76848.0,2019,2.0 16V FLEX SPORT AUTOMÁTICO,,2.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=12,Chevrolet,Onix,89990.0,34955.0,2023,1.0 FLEX PLUS LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=11,Chevrolet,Tracker,107990.0,22450.0,2021,1.2 TURBO FLEX LTZ AUTOMÁTICO,,1.2 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=11,Chevrolet,Onix,61990.0,49723.0,2018,1.4 MPFI ADVANTAGE 8V FLEX 4P AUTOMÁTICO,,1.4,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=11,Peugeot,208,66990.0,45669.0,2023,1.0 FIREFLY FLEX LIKE MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=11,Chevrolet,Onix,73990.0,65311.0,2021,1.0 TURBO FLEX PLUS LT MANUAL,,1.0 Turbo,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=11,Volkswagen,Nivus,124990.0,19826.0,2023,1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=11,Renault,Kwid,53990.0,51592.0,2023,1.0 12V SCE FLEX INTENSE MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=11,Chevrolet,Onix,82990.0,58293.0,2022,1.0 TURBO FLEX PLUS PREMIER AUTOMÁTICO,,1.0 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=11,Chevrolet,Tracker,107800.0,25153.0,2022,1.0 TURBO FLEX LTZ AUTOMÁTICO,,1.0 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=11,Chevrolet,Tracker,106990.0,21684.0,2022,1.0 TURBO FLEX LT AUTOMÁTICO,,1.0 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=13,Fiat,Argo,74990.0,49000.0,2021,1.3 FIREFLY FLEX TREKKING MANUAL,,1.3,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=13,Chevrolet,Prisma,64990.0,41926.0,2019,1.4 MPFI LT 8V FLEX 4P MANUAL,,1.4,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=13,Chevrolet,Onix,77990.0,24411.0,2021,1.0 TURBO FLEX AUTOMÁTICO,,1.0 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=13,Peugeot,208,55990.0,47334.0,2019,1.6 16V FLEX ACTIVE PACK AT6,,1.6,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=13,Chevrolet,Onix,51990.0,40236.0,2019,1.0 MPFI JOY 8V FLEX 4P MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=13,Chevrolet,Onix,74800.0,68633.0,2020,1.0 TURBO FLEX PLUS PREMIER AUTOMÁTICO,,1.0 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=13,Renault,Captur,99990.0,35970.0,2022,1.3 TCE FLEX INTENSE X-TRONIC,,1.3,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=13,Volkswagen,Gol,56990.0,41904.0,2023,1.0 12V MPI TOTALFLEX 4P MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=13,Chevrolet,Onix,72990.0,15603.0,2022,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=15,Chevrolet,Onix,44800.0,47513.0,2017,1.0 MPFI JOY 8V FLEX 4P MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=15,Chevrolet,Onix,92990.0,21209.0,2023,1.0 TURBO FLEX RS AUTOMÁTICO,,1.0 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=15,Chevrolet,Onix,86990.0,26666.0,2021,1.0 TURBO FLEX PREMIER AUTOMÁTICO,,1.0 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=15,Chevrolet,Montana,139990.0,947.0,2024,1.2 TURBO FLEX PREMIER AUTOMÁTICO,,1.2 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=15,Nissan,Versa,83990.0,39515.0,2022,1.6 16V FLEX SENSE XTRONIC,,1.6,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=15,Hyundai,Hb20,55800.0,61506.0,2022,1.0 12V FLEX SENSE MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=15,Chevrolet,Onix,73490.0,31102.0,2022,1.0 FLEX PLUS LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=15,Caoa,Chery Tiggo 2,60800.0,38900.0,2020,1.5 MPFI 16V FLEX LOOK 4P MANUAL,,1.5,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=15,Chevrolet,Onix,82990.0,13319.0,2020,1.0 TURBO FLEX PLUS PREMIER AUTOMÁTICO,,1.0 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=16,Chevrolet,Prisma,64990.0,41926.0,2019,1.4 MPFI LT 8V FLEX 4P MANUAL,,1.4,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=16,Chevrolet,Tracker,104990.0,25077.0,2021,1.0 TURBO FLEX LTZ AUTOMÁTICO,,1.0 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=16,Hyundai,Creta,79800.0,66600.0,2021,1.6 16V FLEX ATTITUDE MANUAL,,1.6,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=16,Hyundai,Creta,110990.0,32217.0,2021,2.0 16V FLEX PRESTIGE AUTOMÁTICO,,2.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=16,Honda,City,112990.0,58892.0,2022,1.5 i-VTEC FLEX TOURING CVT,,1.5,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=16,Toyota,Corolla Cross,167990.0,31112.0,2023,1.8 VVT-I HYBRID FLEX XRV CVT,,1.8,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=16,Volkswagen,Nivus,125990.0,29022.0,2023,1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=16,Chevrolet,Cruze,79800.0,83457.0,2017,1.4 TURBO LTZ 16V FLEX 4P AUTOMÁTICO,,1.4 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=16,Chevrolet,Onix,58800.0,29937.0,2020,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=3,Chevrolet,Onix,71990.0,30815.0,2023,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=3,Chevrolet,Onix,70990.0,48047.0,2023,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=3,Chevrolet,Trailblazer,169990.0,124000.0,2019,2.8 LTZ 4X4 16V TURBO DIESEL 4P AUTOMÁTICO,,2.8 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=3,Chevrolet,Tracker,115990.0,53070.0,2023,1.0 TURBO FLEX LTZ AUTOMÁTICO,,1.0 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=3,Chevrolet,Onix,68990.0,40185.0,2023,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=3,Citroën,C4 Cactus,75990.0,44561.0,2022,1.6 VTI 120 FLEX FEEL EAT6,,1.6,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=3,Renault,Logan,57990.0,59615.0,2023,1.0 12V SCE FLEX ZEN MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=3,Kia,Sportage,112990.0,49981.0,2019,2.0 EX 4X2 16V FLEX 4P AUTOMÁTICO,,2.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=3,Jeep,Renegade,108990.0,26738.0,2022,1.3 T270 TURBO FLEX LONGITUDE AT6,,1.3 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,Chevrolet,Tracker,101990.0,45476.0,2021,1.2 TURBO FLEX LTZ AUTOMÁTICO,,1.2 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,Chevrolet,Onix,71990.0,31423.0,2023,1.0 FLEX MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,Chevrolet,Onix,68990.0,43098.0,2022,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,Chevrolet,Onix,69990.0,27021.0,2022,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,Chevrolet,Cruze,112990.0,35435.0,2022,1.4 TURBO LTZ 16V FLEX 4P AUTOMÁTICO,,1.4 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,Fiat,Toro,124990.0,58669.0,2021,2.0 16V TURBO DIESEL VOLCANO 4WD AT9,,2.0 Turbo,Automatico,Diesel,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,Chevrolet,Onix,69990.0,58114.0,2023,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,Chevrolet,Onix,69990.0,63524.0,2023,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
