page,car_name,car_price,car_km,car_year,car_desc,car_store,car_engine,car_gearbox,car_fuel,car_color
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=8,NISSAN KICKS,73990.0,69806.0,2019,16V FLEXSTART S 4P MANUAL,,1.6,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=8,CHEVROLET MONTANA,136980.0,3535.0,2023,TURBO FLEX PREMIER AUTOMÁTICO,,1.2,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=8,CHEVROLET MONTANA,136980.0,5077.0,2023,TURBO FLEX PREMIER AUTOMÁTICO,,1.2,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=8,CHEVROLET ONIX,78990.0,27194.0,2021,TURBO FLEX PLUS LT AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,CHEVROLET TRACKER,101990.0,45476.0,2021,TURBO FLEX LTZ AUTOMÁTICO,,1.2,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,CHEVROLET ONIX,71990.0,31423.0,2023,FLEX MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,CHEVROLET ONIX,68990.0,43098.0,2022,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,CHEVROLET ONIX,69990.0,27021.0,2022,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,CHEVROLET CRUZE,112990.0,35435.0,2022,TURBO LTZ 16V FLEX 4P AUTOMÁTICO,,1.4,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,FIAT TORO,124990.0,58669.0,2021,16V TURBO DIESEL VOLCANO 4WD AT9,,2.0,Automatico,Diesel,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,CHEVROLET ONIX,69990.0,58114.0,2023,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,CHEVROLET ONIX,69990.0,63524.0,2023,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,CHEVROLET ONIX,68990.0,45229.0,2022,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=6,FIAT STRADA,70990.0,62167.0,2021,FIRE FLEX ENDURANCE CS MANUAL,,1.4,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=6,CHEVROLET ONIX,79990.0,62774.0,2021,TURBO FLEX PLUS PREMIER AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=6,CHEVROLET ONIX,69990.0,24359.0,2022,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=6,CHEVROLET ONIX,68990.0,49355.0,2022,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=6,CHEVROLET MONTANA,143980.0,8048.0,2024,TURBO FLEX PREMIER AUTOMÁTICO,,1.2,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=6,CHEVROLET TRAILBLAZER,242990.0,41501.0,2022,PREMIER 4X4 16V TURBO DIESEL 4P AUTOMÁTICO,,2.8,Automatico,Diesel,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=6,NISSAN VERSA,81990.0,49091.0,2022,16V FLEX SENSE XTRONIC,,1.6,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=6,CHEVROLET ONIX,69990.0,51243.0,2022,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=6,CHEVROLET ONIX,69990.0,38556.0,2023,FLEX MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=9,HYUNDAI HB20,46990.0,100202.0,2019,UNIQUE 12V FLEX 4P MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=2,CHEVROLET S10,239990.0,19253.0,2023,16V TURBO DIESEL HIGH COUNTRY CD 4X4 AUTOMÁTICO,,2.8,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=9,PEUGEOT 2008,73990.0,48216.0,2022,16V FLEX ALLURE PACK 4P AUTOMÁTICO,,1.6,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=9,CHEVROLET ONIX,70900.0,68698.0,2020,TURBO FLEX LTZ MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=9,CHEVROLET ONIX,74800.0,48758.0,2021,TURBO FLEX PLUS LTZ AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=9,CHEVROLET ONIX,53800.0,55498.0,2021,MPFI JOY 8V FLEX 4P MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=9,CHEVROLET TRACKER,81990.0,44138.0,2019,16V TURBO FLEX LT AUTOMÁTICO,,1.4,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=9,CHEVROLET ONIX,70800.0,80905.0,2020,TURBO FLEX PLUS PREMIER AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=9,CHEVROLET SPIN,99990.0,6890.0,2023,LT 8V FLEX 4P MANUAL,,1.8,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=9,CHEVROLET ONIX,80990.0,14503.0,2022,TURBO FLEX LTZ MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=2,CHEVROLET ONIX,70990.0,49673.0,2023,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=2,CHEVROLET ONIX,83990.0,12451.0,2022,TURBO FLEX PLUS AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=2,CHEVROLET ONIX,82990.0,7943.0,2023,FLEX PLUS LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=2,CHEVROLET ONIX,69990.0,61149.0,2023,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=2,CHEVROLET CRUZE,103990.0,20051.0,2022,TURBO LT 16V FLEX 4P AUTOMÁTICO,,1.4,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=2,CHEVROLET EQUINOX,171990.0,10121.0,2022,16V TURBO GASOLINA PREMIER AWD AUTOMÁTICO,,1.5,Automatico,Gasolina,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=2,JEEP RENEGADE,99990.0,73729.0,2020,16V TURBO DIESEL LONGITUDE 4P 4X4 AUTOMÁTICO,,2.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=2,CHEVROLET ONIX,69690.0,55147.0,2023,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=10,CHEVROLET MONTANA,138990.0,1554.0,2024,TURBO FLEX PREMIER AUTOMÁTICO,,1.2,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=10,CHEVROLET ONIX,74990.0,35468.0,2023,FLEX LT MANUAL,,1.0,Manual,Flex,
